basketball||EUROPE: ||WBBL Women - Losers stage||22/01/2019 16:30||g_3_nVybsfRI||TTT Riga 2 W||G4S Noorteliiga W 
basketball||FINLAND: ||Korisliiga||22/01/2019 16:30||g_3_MVAhoqq5||KTP Kotka Basket||Ura Basket 
basketball||FRANCE: ||French Cup||22/01/2019 19:00||g_3_CGaTjpSh||Ada Blois||Rouen 
basketball||FRANCE: ||French Cup||22/01/2019 19:00||g_3_YP0PiQCn||Sorgues||Nancy 
basketball||FRANCE: ||French Cup||22/01/2019 19:00||g_3_nm7ulrCB||Souffelweyersheim||Aix Maurienne 
basketball||FRANCE: ||French Cup||22/01/2019 19:00||g_3_hQ7ykOd5||Vichy-Clermont||Caen 
basketball||FRANCE: ||French Cup||22/01/2019 19:30||g_3_Qw6qm2RH||Challans||Gries Oberhoffen 
basketball||GERMANY: ||BBL||22/01/2019 19:30||g_3_rwyCffq4||Gottingen||Bayern 
basketball||SPAIN: ||LEB Oro||22/01/2019 19:30||g_3_rwwqg6HJ||Araberri||Valladolid 
basketball||SPAIN: ||LEB Oro||22/01/2019 19:45||g_3_MTymhQWP||Leyma Coruna||Real Betis 
basketball||SPAIN: ||LEB Oro||22/01/2019 20:15||g_3_hCSIn4fm||Barcelona B||Palencia 
basketball||SWEDEN: ||Basketligan||22/01/2019 18:04||g_3_COgiah0U||Koping Stars||Jamtland 
basketball||SWEDEN: ||Basketligan||22/01/2019 18:04||g_3_0z1gJeon||Nassjo||Umea 
basketball||SWEDEN: ||Basketligan||22/01/2019 18:04||g_3_Mq2kKyWu||Norrkoping||Sodertalje 
basketball||SWEDEN: ||Basketligan||22/01/2019 18:04||g_3_fc0cIF0h||Uppsala||Wetterbygden Stars 
basketball||USA: ||NBA||22/01/2019 01:00||g_3_WnHhMohK||Philadelphia 76ers||Houston Rockets 
basketball||USA: ||NBA||22/01/2019 02:00||g_3_lOBcL57Q||Utah Jazz||Portland Trail Blazers 
basketball||USA: ||NBA||22/01/2019 03:30||g_3_jXcPGPFs||Los Angeles Lakers||Golden State Warriors 
basketball||USA: ||NBA G League||22/01/2019 00:00||g_3_Y7kZY7WB||Grand Rapids Drive||Capital City Go-Go 
basketball||USA: ||NBA G League||22/01/2019 18:00||g_3_CblwYRoI||Northern Arizona Suns||Salt Lake City Stars 
